bet_id,placed_at,event,team1,team2,market,selection,coeff,stake,status,payout,profit,model_prob,match_slug,market_key,close_coeff,clv_pct,notes
2677253526933082282,2026-06-12T19:22,IEM Cologne Major 2026,Team Vitality,9z Team,handicap_maps,9z (+1.5),2.92,10.00,won,29.20,19.20,0.492,,,,,value pick EV+46%
2677253364995199323,2026-06-12T19:21,IEM Cologne Major 2026,Aurora Gaming,Team Spirit,exact_score_maps,1:2 (Spirit),3.30,10.00,won,33.00,23.00,0.295,,,,,value pick EV+8%
2677477326677226088,2026-06-13T10:13,IEM Cologne Major 2026,BetBoom,FURIA,moneyline,BetBoom ML,2.34,8.00,lost,0.00,-8.00,0.480,betboom-team-vs-furia-13-06-2026,team_1_ml,2.330,0.0043,"form 8-2 beat NaVi, FURIA 5-5 EV+17"
2677477326677226387,2026-06-13T10:13,IEM Cologne Major 2026,Aurora,G2,moneyline,Aurora ML,2.14,5.00,won,10.70,5.70,0.500,aurora-gaming-vs-g2-13-06-2026,team_1_ml,2.264,-0.0548,coinflip slight rank edge EV+10
2677477638804746466,2026-06-13T10:14,IEM Cologne Major 2026,B8,FUT,moneyline,b8 ML,3.45,5.00,lost,0.00,-5.00,0.380,b8-vs-fut-cs2-13-06-2026,team_1_ml,3.260,0.0583,"speculative high EV+31, biggest market disagreement"
2677477638804746719,2026-06-13T10:14,IEM Cologne Major 2026,Vitality,MOUZ,handicap_maps,MOUZ +1.5,1.81,5.00,won,9.05,4.05,0.510,vitality-vs-mousesports-13-06-2026,team_2_handicap_over_1_5,1.910,-0.0524,MOUZ rank5 takes >=1 map vs Vitality EV+10
2677478084566983112,2026-06-13T10:16,IEM Cologne Major 2026,BetBoom+Legacy,FURIA+PARIVISION,express,BetBoom ML x Legacy ML,3.72,4.00,lost,0.00,-4.00,0.327,,,,,"2 legs: BetBoom lost, Legacy won -> express lost"
1781420345931,2026-06-14T06:59,IEM Cologne Major 2026,MOUZ,FUT,moneyline,MOUZ ML,1.67,8.00,lost,0.00,-8.00,0.650,mousesports-vs-fut-cs2-14-06-2026,team_1_ml,1.705,-0.0205,veto Dust2/OP/Mirage all MOUZ edge
1781420346010,2026-06-14T06:59,IEM Cologne Major 2026,G2,Legacy,handicap_maps,Legacy +1.5,1.45,5.00,lost,0.00,-5.00,0.800,g2-vs-legacy-br-14-06-2026,team_2_handicap_over_1_5,1.460,-0.0068,Legacy Elo > G2
1781420346088,2026-06-14T06:59,IEM Cologne Major 2026,MOUZ+Legacy,FUT+G2,express,MOUZ ML x Legacy +1.5,2.42,2.00,lost,0.00,-2.00,0.521,,,,,"2 legs, CLV via singles"
1781523446156,2026-06-15T11:37,IEM Cologne Major 2026,BetBoom,FUT,moneyline,FUT ML,1.76,4.80,pending,,,0.660,betboom-team-vs-fut-cs2-15-06-2026,team_2_ml,1.685,0.0445,"200 UAH on GGBET @1.76 (beat ref 1.685)"
